name,pst,prs,ftr,byd
World Fragments III(radio edit),3.5,7.0,9.8,
Macrocosmic Modulation,4.0,7.5,9.8,
Heavenly caress,3.5,7.5,9.8,
Scarlet Cage,4.0,7.0,9.8,
THE ULTIMACY,3.0,7.0,9.8,
Hybris (The one who shattered),4.5,7.5,9.8,
Ai Drew,3.5,6.5,9.8,
Far Away Light,4.5,7.5,9.8,
Xeraphinite,3.0,7.0,9.8,
Galaxy Friends,3.5,6.0,9.8,
Memory Forest,3.5,6.0,9.8,
Protoflicker,3.0,6.0,9.8,
Got hive of Ra,3.0,6.5,9.8,
Einherjar Joker,4.0,7.0,9.8,
Linear Accelerator,2.5,6.5,9.8,
Black Territory,3.0,7.5,9.8,
DX Choseinou Full Metal Shojo,3.0,6.0,9.8,
SUPERNOVA,3.0,6.0,9.7,
BATTLE NO.1,3.5,6.5,9.7,
amygdata,4.0,7.5,9.7,
RGB,4.0,7.0,9.7,
μ,3.5,7.0,9.7,
Dreadnought,4.0,7.0,9.7,
goldenslaughterer,4.0,6.5,9.7,
BADTEK,4.0,7.0,9.7,
Lethaeus,3.5,6.5,9.7,
AlterAle,3.0,6.0,9.7,
Ultimate taste,3.5,6.5,9.7,
Filament,4.5,7.5,9.7,
BLRINK,3.5,7.5,9.7,
Let's Rock (Arcaea mix),3.0,7.0,9.7,
Lost in the Abyss,3.5,6.5,9.7,
Mazy Metroplex,3.0,7.5,9.7,
Altale,2.5,5.5,9.7,
Heart Jackin',3.0,5.5,9.7,
The Message,3.0,6.5,9.7,
SACRIFICE feat. ayame,3.0,7.0,9.7,
Black Lotus,3.0,6.5,9.7,
nέο κόsmo,4.0,7.5,9.7,
Sulfur,4.0,6.0,9.7,
Vandalism,3.5,6.0,9.7,
Monochrome Princess,4.5,7.5,9.7,
Dazzle hop,3.5,6.0,9.7,
Purple Verse,4.0,7.0,9.6,
Quon,4.0,6.5,9.6,
Avant Raze,3.5,6.5,9.6,
LunarOrbit -believe in the Espebranch road-,3.5,6.0,9.6,
IMPACT,3.5,7.5,9.6,10.4
carmine:scythe,4.0,7.5,9.6,
ENERGY SYNERGY MATRIX,3.5,7.0,9.6,
Loveless Dress,3.5,6.5,9.6,
A Wandering Melody of Love,3.5,7.5,9.6,
Fallensquare,3.0,7.0,9.6,
Astral tale,4.5,7.0,9.6,
Lazy Addiction,2.5,6.0,9.6,
Vindication,4.0,6.5,9.6,
NULCTRL,3.0,6.0,9.5,
DataErr0r,3.0,7.0,9.5,
GIMMICK,2.5,6.5,9.5,
MAHOROBA,3.0,6.5,9.5,
Illegal Paradise,2.0,7.0,9.5,
STAGER (ALL STAGE CLEAR),3.0,6.5,9.5,
Specta,3.5,6.5,9.5,
Evening in Scarlet,4.0,7.0,9.5,
Cybernecia Catharsis,4.0,7.0,9.5,
ΟΔΥΣΣΕΙΑ,4.0,7.5,9.5,
OMAKENO Stroke,3.0,6.5,9.5,10.2
DRG,3.5,7.0,9.5,
Lapis,2.0,6.0,9.4,
Teriqma,3.0,6.5,9.4,9.7
Yosakura Fubuki,4.5,7.0,9.4,
VECTOЯ,3.0,7.0,9.4,
AI[UE]OON,3.5,6.5,9.4,
Party Vinyl,4.0,7.5,9.4,10.1
Final Step!,3.5,6.5,9.4,
Red and Blue,4.0,7.5,9.4,10.0
CROSS†OVER,4.0,6.5,9.4,
with U,2.5,6.5,9.4,
Dreamin' Attraction!!,4.5,7.0,9.4,
Crystal Gravity,3.5,6.5,9.4,
lastendconductor,3.5,7.0,9.4,10.1
Be There,4.0,7.5,9.4,
Let you DIVE! (nitro rmx),3.0,6.5,9.4,
Equilibrium,3.5,6.5,9.4,
Raven's Pride,3.0,6.0,9.4,
CROSS†SOUL,4.0,7.0,9.4,
Impure Bird,2.0,5.5,9.4,
Head BONK ache,4.0,7.0,9.4,
Your voice so... feat. Such,3.5,6.5,9.4,
Lost Emotion feat. nomico,3.5,7.0,9.3,
Heart,1.0,5.0,9.3,
Glow,4.0,7.0,9.3,
PICO-Pico-Translation!,2.0,6.0,9.3,
Sakura Fubuki,3.5,5.5,9.3,
Blocked Library,3.5,6.5,9.3,
Can I Friend You on Bassbook? Lol,3.0,6.5,9.3,
Ignotus,3.5,6.5,9.3,9.9
Oracle,3.0,5.5,9.3,
False Embellishment,3.5,6.5,9.3,
Syro,3.5,6.5,9.3,
Auxesia,3.5,6.5,9.3,
GOODTEK (Arcaea Edit),4.0,6.5,9.3,9.8
MANTIS (Arcaea Ultra-Bloodrush VIP),3.0,5.5,9.3,
Blaster,4.0,7.0,9.3,
Feels So Right feat. Renko,3.5,6.5,9.3,
Libertas,3.5,5.5,9.2,
Strongholds,2.5,5.0,9.2,
Rugie,3.0,6.0,9.2,
Alice à la mode,2.5,6.5,9.2,
Redraw the Colorless World,4.0,6.5,9.2,
Anökumene,2.5,6.5,9.2,
cocoro*cosmetic,3.0,6.0,9.2,
Dancin' on a Cat's Paw,3.0,6.0,9.2,
Lost Civilization,4.0,7.0,9.2,9.8
Phantasia,4.0,5.5,9.2,
Used to be,4.0,6.5,9.2,
Life is PIANO,3.5,5.5,9.1,
qualia -ideaesthesia-,4.5,7.0,9.1,9.7
Essence of Twilight,4.5,7.0,9.1,
Faint Light (Arcaea Edit),3.0,6.0,9.1,
dropdead,1.5,9.5,9.1,10.5
La'qryma of the Wasteland,3.5,6.5,9.1,9.9
Iconoclast,4.0,7.0,9.1,
Alice's Suitcase,3.5,6.0,9.1,
Small Cloud Sugar Candy,3.0,6.5,9.1,
Blue Rose,2.0,5.5,9.1,
Galactic Love,3.0,6.5,9.0,
Flyburg and Endroll,3.0,6.0,9.0,
Kanagawa Cyber Culvert,1.0,5.5,9.0,9.8
Empire of Winter,3.5,6.5,9.0,
ReviXy,3.0,6.0,9.0,
Turbocharger,2.5,5.5,9.0,
Last,4.0,7.0,9.0,9.6
Jump,4.0,6.0,9.0,
Maze No.9,3.0,3.5,8.9,
Give Me a Nightmare,3.5,5.5,8.9,
MERLIN,3.0,5.5,8.9,9.4
Evoltex (poppi'n mix),2.0,7.0,8.9,
Chronostasis,3.5,7.5,8.9,
memoryfactory.lzh,2.5,5.5,8.9,
Lawless Point,3.0,6.0,8.9,
Particle Arts,3.5,6.0,8.8,
Surrender,3.0,6.5,8.8,
next to you,4.5,7.0,8.8,9.6
CYCLES,2.0,5.0,8.8,
Vivid Theory,2.0,5.0,8.8,
Antithese,2.0,5.0,8.8,9.5
Flashback,2.0,5.0,8.8,
Journey,3.0,6.0,8.8,
Solitary Dream,4.0,7.0,8.8,
Cosmo Pop Funclub,2.5,6.0,8.8,
Coastal Highway,3.0,6.0,8.8,
Lights of Muse,2.5,5.5,8.7,
WAIT FOR DAWN,2.0,6.0,8.7,
Senkyou,3.0,5.5,8.7,
Beside You,2.5,6.0,8.7,
Paper Witch,2.0,5.0,8.7,
Call My Name feat. Yukacco,3.5,6.0,8.7,
Quon,2.5,5.5,8.7,10.2
Grimheart,2.5,5.0,8.6,
FREEF4LL,4.0,7.0,8.6,9.8
Gekka (Short Version),4.0,6.0,8.6,
Silent Rush,2.5,5.0,8.6,
Chelsea,3.0,6.0,8.5,
DDD,2.5,6.5,8.5,
syūten,2.0,5.0,8.5,
Babaroque,3.0,6.5,8.5,
Dandelion,2.5,6.0,8.5,
Reinvent,2.5,6.5,8.5,
cry of viyella,3.5,6.0,8.5,
Cosmica,2.5,5.0,8.5,
Harutopia ~Utopia of Spring~,1.0,4.5,8.5,
INTERNET OVERDOSE,3.0,6.5,8.4,
Lumia,2.5,5.5,8.4,9.5
Eccentric Tale,2.0,5.5,8.4,
Rabbit In The Black Room,2.5,5.5,8.4,
Moonheart,2.5,5.5,8.4,9.7
REconstruction,2.5,6.0,8.4,
enchanted love,2.0,4.5,8.4,
Purgatorium,2.5,6.0,8.4,9.6
Snow White,2.5,5.0,8.4,
Tsuki ni Murakumo, Hana ni Kaze,3.0,6.0,8.4,
Dot to Dot feat. shully,3.0,6.0,8.3,
san skia,3.5,6.0,8.3,
Bookmaker (2D Version),4.5,6.5,8.3,10.0
April showers,2.0,5.5,8.3,
Oblivia,3.5,5.0,8.3,
Tie me down gently,3.0,5.5,8.3,
Altair (feat. *spiLa*),2.5,6.0,8.3,
Shades of Light in a Transcendent Realm,3.0,6.0,8.3,9.0
Ävril -Flicka i krans-,3.0,6.0,8.3,
Hall of Mirrors,3.0,5.5,8.2,
One Last Drive,2.5,5.5,8.2,
blue comet,3.5,5.0,8.2,
Genesis,2.0,5.5,8.2,
1F√,2.5,6.5,8.2,
Lucifer,3.5,5.5,8.2,
Bullet Waiting for Me (James Landino remix),2.5,4.5,8.1,
Hikari,2.5,6.0,8.1,
Dialnote,3.0,6.0,8.1,
Diode,2.5,5.5,8.1,
I've heard it said,3.5,6.0,8.1,
Prism,2.0,5.0,8.0,
Relentless,4.5,6.5,8.0,
world.execute(me);,3.5,5.0,8.0,
inkar-usi,2.0,4.0,7.5,
Romance Wars,1.0,4.0,7.5,
Brand new world,2.0,4.0,7.5,
Clotho and the stargazer,2.0,5.0,7.5,
Moonlight of Sand Castle,1.5,5.0,7.5,
First Snow,2.5,4.5,7.5,
Dream goes on,1.5,5.0,7.5,
Suomi,2.0,5.0,7.5,
Paradise,1.0,4.0,7.5,
Infinity Heaven,1.5,5.5,7.5,9.6
Rise,2.5,4.0,7.5,
Dement ~after legend~,3.5,6.0,7.5,9.9
Fairytale,1.0,3.5,7.0,9.5
Vexaria,2.5,5.0,7.0,8.8
Blossoms,1.0,4.0,7.0,
Sayonara Hatsukoi,1.5,4.5,7.0,
